ID,CategoryName
"1", ""CB's & Scanners""
"2", ""Computer Accessories""
"3", ""Car/Boat Audio & Video""
"4", ""Cameras & Optics""
"5", ""Sports/Recreational""
"6", ""Home Electronics""
"7", ""Accessories""
"8", ""Toys & Games""
"9", ""Housewares""
"10", ""Radar Detectors""
"11", ""Telephones""
"12", ""Health & Beauty""
"13", ""Miscellaneous""
"14", ""Office Products""
"15", ""Portable Electronics""
"16", ""GPS Navigation""
"17", ""Collectibles""
"18", ""Watches/Timepieces""
"19", ""Lawn & Garden""
